Wall time,Step,Value
1771419367.3080103,761856,759.7696533203125
1771419373.082631,763904,671.9375610351562
1771419378.7554247,765952,662.1561889648438
1771419384.399837,768000,602.168212890625
1771419389.9582446,770048,580.7791137695312
1771419395.811545,772096,561.382080078125
1771419400.7874403,774144,568.390380859375
1771419406.1553762,776192,-426.6629333496094
1771419411.2977488,778240,-440.027099609375
1771419416.652821,780288,-456.81939697265625
1771419421.9473388,782336,-922.1036987304688
1771419427.3623288,784384,-711.0387573242188
1771419432.9392407,786432,-729.25146484375
1771419438.0994563,788480,-726.4107666015625
1771419443.5424573,790528,-870.909423828125
1771419449.295626,792576,-898.9451904296875
1771419454.48617,794624,-903.1964721679688
1771419460.1399045,796672,-960.9820556640625
1771419465.695129,798720,-943.5278930664062
1771419471.3407109,800768,-969.4232177734375
1771419476.8803043,802816,-1020.5809936523438
1771419482.5124962,804864,-929.7852783203125
1771419488.0321443,806912,-933.6803588867188
1771419493.6346462,808960,-921.9413452148438
1771419499.5835297,811008,3134.034912109375
1771419505.4566758,813056,3130.864013671875
1771419510.856753,815104,3108.4951171875
1771419516.060764,817152,3204.6435546875
1771419521.542432,819200,3179.852783203125
1771419526.9780483,821248,3198.0185546875
1771419532.7375555,823296,3139.563232421875
1771419538.2674255,825344,3239.353759765625
1771419543.8653927,827392,3295.11279296875
1771419549.3459616,829440,3303.95166015625
1771419554.8673446,831488,-22849.0859375
1771419560.5181367,833536,-23499.083984375
1771419566.1050823,835584,-23870.23046875
1771419571.7732594,837632,-23858.8828125
1771419577.4212632,839680,-23844.748046875
1771419582.918927,841728,-26514.8203125
1771419588.1698313,843776,-26444.5
1771419593.7387211,845824,-26416.21875
1771419599.2265782,847872,-26490.912109375
1771419604.7237844,849920,-27333.765625
1771419610.2050297,851968,-27766.296875
1771419615.7088592,854016,-27776.462890625
1771419621.322498,856064,-26788.41015625
1771419626.8082645,858112,-26865.60546875
1771419632.3865867,860160,-26858.9765625
1771419637.974945,862208,-49840.078125
1771419643.5880458,864256,-49823.890625
1771419649.0216572,866304,-51539.3359375
1771419654.4663658,868352,-51543.15625
1771419660.1519415,870400,-51760.51171875
1771419665.6125152,872448,-51703.453125
1771419671.4494731,874496,-51688.83984375
1771419677.1072607,876544,-52537.3984375
1771419682.7341459,878592,-52563.875
1771419688.483674,880640,-52591.6015625
1771419693.8229978,882688,-53984.36328125
1771419699.6999285,884736,-53968.68359375
1771419705.3524954,886784,-53976.2734375
1771419711.0912535,888832,-53967.01953125
1771419716.8869457,890880,-71903.7109375
1771419722.1541593,892928,-71947.875
1771419727.8184705,894976,-71920.421875
1771419733.4660149,897024,-72563.6328125
1771419739.0588784,899072,-72566.859375
1771419745.025316,901120,-72550.734375
1771419750.8232713,903168,-72556.578125
1771419756.3273408,905216,-72560.59375
1771419761.7686427,907264,-72538.328125
1771419767.3414824,909312,-72551.3125
1771419772.9872637,911360,-46394.703125
1771419778.5104067,913408,-45688.16796875
1771419784.047171,915456,-45312.4296875
1771419789.6151083,917504,-45277.20703125
1771419795.1493442,919552,-45317.3046875
1771419800.7032974,921600,-43136.890625
1771419806.2336047,923648,-43129.640625
1771419811.7579591,925696,-43122.7890625
1771419817.3180442,927744,-42978.01171875
1771419823.0117939,929792,-42108.21875
1771419828.544255,931840,-41689.5625
1771419834.0120823,933888,-41647.37109375
1771419839.4795182,935936,-48429.57421875
1771419845.0002825,937984,-48356.78515625
1771419850.835692,940032,-65833.65625
1771419856.6638644,942080,-42367.2734375
1771419862.2762754,944128,-42369.48828125
1771419867.8865306,946176,-40651.765625
1771419873.8231635,948224,-40635.15234375
1771419879.6028554,950272,-40264.49609375
1771419885.2854252,952320,-40261.75
1771419891.0843322,954368,-41188.4765625
1771419896.7880287,956416,-40305.4453125
1771419902.5010786,958464,-40288.4453125
1771419908.1745946,960512,-40237.01171875
1771419913.8195238,962560,-38785.75
1771419919.538786,964608,-38817.6796875
1771419925.6430814,966656,-38800.43359375
1771419931.4145994,968704,-38825.0390625
1771419936.9483643,970752,-20889.421875
1771419942.6767972,972800,-27173.21875
1771419948.3022614,974848,-27173.150390625
1771419953.9593816,976896,-26532.46484375
1771419959.7274988,978944,-26537.51171875
1771419965.273458,980992,-26545.87109375
1771419970.8939962,983040,-26723.849609375
1771419976.6822462,985088,-26726.0859375
1771419982.3480306,987136,-29633.5546875
1771419988.0068793,989184,-29612.09765625
1771419993.6384563,991232,-29601.091796875
1771419999.6029673,993280,-29591.740234375
1771420005.3909569,995328,-37393.71484375
1771420011.0435112,997376,-37400.0390625
1771420016.24865,999424,-37372.890625
1771420021.2165623,1001472,-36883.6953125
