#{"t_start": 1771417279.5559034, "env_id": "None"}
r,l,t
-8510.5237,800,496.817636
-191.35326,800,497.455492
-1398.41669,800,498.100096
-2162.085241,800,502.680154
220.073341,800,503.330353
730.631618,800,507.97002
-177.801576,800,508.677157
-585.752163,800,509.349387
-1647.04445,800,513.949316
-101935.31073,800,514.577106
-199.49068,800,515.219839
-59.852037,800,519.765807
-1661.136136,800,520.401614
-16.588467,800,525.028592
749.29314,800,525.669744
-8658.883665,800,526.401942
-11174.213636,800,531.020151
-135386.238481,800,531.651988
-3745.304119,800,536.316675
-59920.938354,800,536.942424
-3860.672682,800,537.667353
-6611.864659,800,542.307501
-279989.966873,800,542.950853
216.281422,800,547.6312
-1694.153136,800,548.258926
-1820.199772,800,548.879561
-289533.487519,800,553.981099
-83709.841553,800,554.605041
-12592.104871,800,555.204272
-2432.346777,800,559.712253
-115029.193147,800,560.364797
-956.698577,800,565.267796
-313.732056,800,565.892577
-161847.736198,800,566.603741
-1601.89893,800,571.25765
-117444.864802,800,572.042556
-4159.046733,800,576.460816
420.136414,800,577.211416
-79443.069496,800,577.916917
-37617.577735,800,582.373729
735.763653,800,583.068734
-1807.768457,800,587.699919
90.271347,800,588.340207
-28826.747751,800,588.970177
-1916.237331,800,593.451885
-6951.096663,800,594.111951
78.511503,800,598.704191
29.232796,800,599.354481
-593.63633,800,600.005949
309.151013,800,604.565229
-146.380958,800,605.196109
268.62536,800,605.824734
3.97829,800,610.612133
-8407.845921,800,611.290427
323.061609,800,615.826605
-2022.137164,800,616.477696
836.654867,800,617.137297
608.04495,800,621.693292
32.607573,800,622.364481
-157.18589,800,626.955569
130.959842,800,627.61706
588.987789,800,628.266812
-4129.651941,800,632.824252
-18812.087856,800,633.477809
-1306.885104,800,638.104999
15.186339,800,638.754777
-253.31805,800,639.403214
-717.853428,800,643.951671
-103.116046,800,644.605517
845.869984,800,649.517398
137.990214,800,650.213178
-14.96145,800,650.898042
377.304453,800,655.497043
283.833959,800,656.156759
439.262642,800,656.834758
815.262096,800,661.410483
522.704922,800,662.062752
-1182.709713,800,666.703385
182.51758,800,667.372007
280.407797,800,668.028859
239.799992,800,672.658663
963.430915,800,673.33713
3.384831,800,677.878649
670.131929,800,678.53761
-707.108121,800,679.192201
698.664434,800,683.828346
316.373563,800,684.530942
803.788101,800,689.020019
181.950069,800,689.697917
106.332259,800,690.410015
736.031896,800,694.857557
131.213327,800,695.530831
170.608634,800,696.196021
333.533005,800,700.953457
846.188015,800,701.615426
-332.484449,800,706.289944
119.748871,800,706.943233
753.143164,800,707.610015
252.263375,800,712.446533
63.449965,800,713.166298
548.068163,800,717.874759
-124.163904,800,718.528434
448.613407,800,719.181877
142.420942,800,723.735466
384.044992,800,724.406778
723.451334,800,728.94284
271.971011,800,729.592656
651.056864,800,730.255428
719.382299,800,734.964451
852.038618,800,735.627916
999.565592,800,740.330737
528.024575,800,741.000358
781.268499,800,741.661793
4.602352,800,746.39128
-26255.599275,800,747.067327
-475.289854,800,747.732697
449.709802,800,752.36389
513.026407,800,753.017879
374.20881,800,757.928203
-7699.701018,800,758.600543
479.193069,800,759.284021
270.745244,800,763.98703
36.709514,800,764.654228
1064.856946,800,769.379931
925.848226,800,770.059058
-1081.835018,800,770.743103
459.983858,800,775.442104
757.44744,800,776.120816
533.031759,800,781.120369
-6300.123497,800,781.795103
-2285.498399,800,782.464059
-4458.757742,800,787.272542
1228.36963,800,787.930897
-464.747051,800,792.32384
201.6181,800,793.01413
659.16117,800,793.686513
-369.467936,800,798.234236
-110.520826,800,798.904729
172.183015,800,799.588569
893.181194,800,804.129204
1372.642918,800,804.774514
628.584204,800,809.403861
551.371507,800,810.027717
1096.056816,800,810.645399
606.017299,800,815.181284
919.462084,800,815.823729
1110.456204,800,820.351182
490.127,800,820.971817
366.448341,800,821.612284
875.627847,800,826.26937
1002.454605,800,826.900706
688.843401,800,831.683951
537.724687,800,832.312892
906.549213,800,832.941207
23.121526,800,837.49293
85.112929,800,838.121244
715.772727,800,838.750676
465.582101,800,843.285924
568.09606,800,844.014942
702.130784,800,848.537982
435.485106,800,849.24788
155.194684,800,850.016049
1348.624584,800,854.534231
1086.617638,800,855.202064
1563.216928,800,859.691326
1584.691677,800,860.356041
1124.581088,800,861.044539
-4566.891388,800,865.744282
217.631315,800,866.42825
921.434617,800,871.132327
364.657854,800,871.782807
946.78463,800,872.434685
639.81111,800,876.988863
254.389046,800,877.684124
-1357.266085,800,882.547679
881.193579,800,883.229544
-54.494451,800,883.889953
653.930524,800,888.654664
-906.057996,800,889.325495
983.490073,800,889.985121
1139.576025,800,894.626359
906.989268,800,895.291148
857.285859,800,899.887203
387.725058,800,900.551792
690.875223,800,901.229088
1111.523885,800,906.00147
1408.23158,800,906.68254
153.288207,800,911.280701
1352.240009,800,911.963915
1138.397187,800,912.642592
649.839354,800,917.343328
810.41858,800,918.035817
-413.011819,800,922.796467
916.854424,800,923.458823
342.940717,800,924.119431
846.820015,800,928.882457
972.572586,800,929.558308
628.316681,800,934.228981
415.29345,800,934.908484
933.693152,800,935.627252
1424.03453,800,939.999308
1161.51369,800,940.660456
1072.952601,800,941.424005
1386.670616,800,946.118063
1063.725295,800,946.75458
1150.751014,800,951.354
1585.384381,800,952.071476
251.968123,800,952.696417
1172.84207,800,957.20513
929.774758,800,957.901491
659.130383,800,962.318413
1100.09868,800,963.007899
1325.646344,800,963.64625
685.500356,800,968.532447
1382.01027,800,969.163392
1512.281553,800,973.837377
1538.156452,800,974.501374
666.52007,800,975.205893
1383.057248,800,979.550669
1441.100888,800,980.353228
-111.875609,800,981.061106
1340.690652,800,985.641644
1437.474777,800,986.303432
375.98112,800,990.969572
1940.8296,800,991.644461
1692.771605,800,992.336981
921.663718,800,996.936535
248.925168,800,997.608064
1863.812144,800,1002.154807
862.936361,800,1002.91081
1395.64989,800,1003.731798
650.373554,800,1008.279718
1725.925642,800,1008.991145
654.267107,800,1013.566001
519.003232,800,1014.250103
1053.804866,800,1014.972354
2919.376667,800,1019.958781
4296.648388,800,1020.627118
-34.284728,800,1025.599228
3452.76809,800,1026.255153
